trading_date,ticker,sma_5,sma_10,sma_20,sma_50,ema_5,ema_10,ema_20,ema_50,macd,macd_signal,macd_histogram,macd_trend,rsi,rsi_oversold,rsi_overbought,rsi_momentum,bb_upper,bb_middle,bb_lower,bb_width,atr,atr_percentage,price_vs_sma20,price_vs_sma20_pct,price_vs_sma50,price_vs_sma50_pct,price_vs_ema20,sma20_vs_sma50,ema20_vs_ema50,sma5_vs_sma20,trend_direction,volume_sma_20,volume_sma_ratio,price_momentum_5,price_momentum_10,daily_volatility,price_volatility_10,price_volatility_20,trend_strength_10,volume_price_trend,gap,created_at
2026-01-22,360ONE.NS,1139.799990234375,1143.9299999999998,1166.2249975585937,1146.0039956054688,1125.4509261589626,1140.9838635849778,1151.2336646372125,1149.6818404793664,-7.699413655842136,1.3800015092399964,-9.079415165082132,,36.902221418294964,False,False,3.8431844694740036,,,,,,,0.9486162638564236,,0.9653544003705746,,0.9609691185921213,1.017644791842494,1.0013497857435054,0.9773414157820853,Sideways,1240346.65,1.5023735501684148,0.9626697241605966,0.9282597370991924,0.0248842843177,32.230310601076056,32.52302141014125,0.07728468663845706,0.015088203279332175,7.7000000000000455,2026-01-22 08:00:51.850
2026-01-22,360ONE.NS,1139.799990234375,1143.9299999999998,1166.2249975585937,1146.0039956054688,1125.4509261589626,1140.9838635849778,1151.2336646372125,1149.6818404793664,-7.699413655842136,1.3800015092399964,-9.079415165082132,,36.902221418294964,False,False,3.8431844694740036,,,,,,,0.9486162638564236,,0.9653544003705746,,0.9609691185921213,1.017644791842494,1.0013497857435054,0.9773414157820853,Sideways,1240346.65,1.5023735501684148,0.9626697241605966,0.9282597370991924,0.0248842843177,32.230310601076056,32.52302141014125,0.07728468663845706,0.015088203279332175,7.7000000000000455,2026-01-22 08:44:31.110
2026-01-22,360ONE.NS,1139.799990234375,1143.9299999999998,1166.2249975585937,1146.0039956054688,1125.4509261589626,1140.9838635849778,1151.2336646372125,1149.6818404793664,-7.699413655842136,1.3800015092399964,-9.079415165082132,,36.902221418294964,False,False,3.8431844694740036,,,,,,,0.9486162638564236,,0.9653544003705746,,0.9609691185921213,1.017644791842494,1.0013497857435054,0.9773414157820853,Sideways,1240346.65,1.5023735501684148,0.9626697241605966,0.9282597370991924,0.0248842843177,32.230310601076056,32.52302141014125,0.07728468663845706,0.015088203279332175,7.7000000000000455,2026-01-22 10:43:28.443
2026-01-22,360ONE.NS,1139.799990234375,1143.9299999999998,1166.2249975585937,1146.0039956054688,1125.4509261586347,1140.9838295934917,1151.2276014022486,1149.5694794872732,-7.680857803619119,1.401818021904838,-9.082675825523957,,36.902221418294964,False,False,3.8431844694740036,,,,,,,0.9486162638564236,,0.9653544003705746,,0.960974179782065,1.017644791842494,1.0014423851229202,0.9773414157820853,Sideways,1240346.65,1.5023735501684148,0.9626697241605966,0.9282597370991924,0.0248842843177,32.23031060107639,32.523021410141325,0.07728468663845706,0.015088203279332175,7.7000000000000455,2026-01-23 07:36:17.500
2026-01-22,3MINDIA.NS,34190.0,34517.5,34874.75,35087.7,34136.41620230539,34443.38882682908,34707.297072749396,34826.53262127097,-248.81762522627105,-90.30180439891015,-158.5158208273609,,34.28143712574851,False,False,-8.136732546930183,,,,,,,0.972049978852895,,0.9661505313827924,,0.9767398460601172,0.993930921662007,0.9965763014705418,0.9803654506483918,Sideways,4186.55,0.43448662980258207,0.9566812473543107,0.9720430107526882,0.01754459863657999,660.703539166148,766.8810293375984,0.028761061946902654,-0.0010229232014186897,180.0,2026-01-23 07:36:17.500
2026-01-22,3MINDIA.NS,34190.0,34517.5,34874.75,35087.7,34136.41620228764,34443.38544462242,34706.33924195678,34808.35526106373,-245.65732622340147,-85.48160585186056,-160.1757203715409,,34.28143712574851,False,False,-8.136732546930183,,,,,,,0.972049978852895,,0.9661505313827924,,0.9767668022739202,0.993930921662007,0.99706920886259,0.9803654506483918,Sideways,4186.55,0.43448662980258207,0.9566812473543107,0.9720430107526882,0.01754459863658004,660.7035391661454,766.8810293375984,0.028761061946902654,-0.0010229232014186897,180.0,2026-01-22 10:43:28.443
2026-01-22,3MINDIA.NS,34190.0,34517.5,34874.75,35087.7,34136.41620228764,34443.38544462242,34706.33924195678,34808.35526106373,-245.65732622340147,-85.48160585186056,-160.1757203715409,,34.28143712574851,False,False,-8.136732546930183,,,,,,,0.972049978852895,,0.9661505313827924,,0.9767668022739202,0.993930921662007,0.99706920886259,0.9803654506483918,Sideways,4186.55,0.43448662980258207,0.9566812473543107,0.9720430107526882,0.01754459863658004,660.7035391661454,766.8810293375984,0.028761061946902654,-0.0010229232014186897,180.0,2026-01-22 08:44:31.110
2026-01-22,3MINDIA.NS,34190.0,34517.5,34874.75,35087.7,34136.41620228764,34443.38544462242,34706.33924195678,34808.35526106373,-245.65732622340147,-85.48160585186056,-160.1757203715409,,34.28143712574851,False,False,-8.136732546930183,,,,,,,0.972049978852895,,0.9661505313827924,,0.9767668022739202,0.993930921662007,0.99706920886259,0.9803654506483918,Sideways,4186.55,0.43448662980258207,0.9566812473543107,0.9720430107526882,0.01754459863658004,660.7035391661454,766.8810293375984,0.028761061946902654,-0.0010229232014186897,180.0,2026-01-22 08:00:51.850
2026-01-22,AADHARHFC.NS,470.8700012207031,474.69500122070315,482.11000061035156,484.96700073242187,471.8103949184612,475.28299933196456,479.4690054897739,484.1462265595234,-4.518494141311862,-2.8361842068748886,-1.6823099344369736,,20.785452305585494,True,False,-21.707469215040724,,,,,,,0.9749849607038154,,0.9692412046388859,,0.9803553402160949,0.994108877268442,0.9903392388225616,0.976685819884635,Sideways,280597.65,0.41177821695940786,0.9843979057591623,0.9632172131147542,0.009886174695806845,4.533361259827067,10.528990344267568,0.03818742686948195,-0.0006559763439242795,3.099999999999966,2026-01-22 08:00:51.850
2026-01-22,AADHARHFC.NS,470.8700012207031,474.69500122070315,482.11000061035156,484.96700073242187,471.8103949184612,475.28299933196456,479.4690054897739,484.1462265595234,-4.518494141311862,-2.8361842068748886,-1.6823099344369736,,20.785452305585494,True,False,-21.707469215040724,,,,,,,0.9749849607038154,,0.9692412046388859,,0.9803553402160949,0.994108877268442,0.9903392388225616,0.976685819884635,Sideways,280597.65,0.41177821695940786,0.9843979057591623,0.9632172131147542,0.009886174695806845,4.533361259827067,10.528990344267568,0.03818742686948195,-0.0006559763439242795,3.099999999999966,2026-01-22 08:44:31.110
2026-01-22,AADHARHFC.NS,470.8700012207031,474.69500122070315,482.11000061035156,484.96700073242187,471.8103949184612,475.28299933196456,479.4690054897739,484.1462265595234,-4.518494141311862,-2.8361842068748886,-1.6823099344369736,,20.785452305585494,True,False,-21.707469215040724,,,,,,,0.9749849607038154,,0.9692412046388859,,0.9803553402160949,0.994108877268442,0.9903392388225616,0.976685819884635,Sideways,280597.65,0.41177821695940786,0.9843979057591623,0.9632172131147542,0.009886174695806845,4.533361259827067,10.528990344267568,0.03818742686948195,-0.0006559763439242795,3.099999999999966,2026-01-22 10:43:28.443
2026-01-22,AADHARHFC.NS,470.8700012207031,474.69500122070315,482.11000061035156,484.96700073242187,471.8103949183248,475.2829715223719,479.4614883044118,484.01432592821294,-4.494291250283538,-2.803981423118224,-1.6903098271653145,,20.785452305585494,True,False,-21.707469215040724,,,,,,,0.9749849607038154,,0.9692412046388859,,0.9803707106118263,0.994108877268442,0.9905935891152188,0.976685819884635,Sideways,280597.65,0.41177821695940786,0.9843979057591623,0.9632172131147542,0.009886174695806845,4.533361259827055,10.528990344267555,0.03818742686948195,-0.0006559763439242795,3.099999999999966,2026-01-23 07:36:17.500
2026-01-22,AARTIIND.NS,348.05000122070317,354.68500122070316,364.34000122070313,370.5059998779297,348.3420103897381,353.9050593847151,360.312613820647,367.28393635562395,-6.943173090255073,-4.4129640599775515,-2.530209030277521,,24.54087055971422,True,False,7.173451980908496,,,,,,,0.9508975101258067,,0.9350725767305916,,0.9615261489914215,0.9833578979577711,0.9810192555542997,0.955289015904317,Sideways,415021.2,1.1116516457472534,0.9570441988950276,0.9397802949571781,0.014295468390832898,8.166056056441382,11.604214351697342,0.06407849299028542,0.021088685632558262,2.0,2026-01-23 07:36:17.500
2026-01-22,AARTIIND.NS,348.05000122070317,354.68500122070316,364.34000122070313,370.5059998779297,348.34201038979785,353.9050727504532,360.31598525064726,367.33112853026466,-6.953446557081804,-4.423308524870806,-2.5301380322109983,,24.54087055971422,True,False,7.173451980908496,,,,,,,0.9508975101258067,,0.9350725767305916,,0.9615171521157974,0.9833578979577711,0.9809023991304907,0.955289015904317,Sideways,415021.2,1.1116516457472534,0.9570441988950276,0.9397802949571781,0.014295468390832898,8.166056056441468,11.604214351697342,0.06407849299028542,0.021088685632558262,2.0,2026-01-22 10:43:28.443
2026-01-22,AARTIIND.NS,348.05000122070317,354.68500122070316,364.34000122070313,370.5059998779297,348.34201038979785,353.9050727504532,360.31598525064726,367.33112853026466,-6.953446557081804,-4.423308524870806,-2.5301380322109983,,24.54087055971422,True,False,7.173451980908496,,,,,,,0.9508975101258067,,0.9350725767305916,,0.9615171521157974,0.9833578979577711,0.9809023991304907,0.955289015904317,Sideways,415021.2,1.1116516457472534,0.9570441988950276,0.9397802949571781,0.014295468390832898,8.166056056441468,11.604214351697342,0.06407849299028542,0.021088685632558262,2.0,2026-01-22 08:44:31.110
2026-01-22,AARTIIND.NS,348.05000122070317,354.68500122070316,364.34000122070313,370.5059998779297,348.34201038979785,353.9050727504532,360.31598525064726,367.33112853026466,-6.953446557081804,-4.423308524870806,-2.5301380322109983,,24.54087055971422,True,False,7.173451980908496,,,,,,,0.9508975101258067,,0.9350725767305916,,0.9615171521157974,0.9833578979577711,0.9809023991304907,0.955289015904317,Sideways,415021.2,1.1116516457472534,0.9570441988950276,0.9397802949571781,0.014295468390832898,8.166056056441468,11.604214351697342,0.06407849299028542,0.021088685632558262,2.0,2026-01-22 08:00:51.850
2026-01-22,AAVAS.NS,1416.9799951171876,1433.6600048828125,1450.4350073242188,1515.983998046875,1426.2240314622106,1432.2856698855078,1449.5183143963684,1488.99601454093,-24.072412096635844,-24.881622012360147,0.8092099157243027,,50.84906870651673,False,False,27.555631747071317,,,,,,,1.008525023605568,,0.9649178367875948,,1.0091628270382789,0.9567614230710175,0.9734870343781726,0.9769344975554959,Sideways,275729.5,0.7330227632516652,1.01330010026238,0.9970011236925406,0.020225939288074736,28.41401696584273,29.54305851307948,0.0030078966173605727,0.039447302366471704,0.0,2026-01-22 08:00:51.850
2026-01-22,AAVAS.NS,1416.9799951171876,1433.6600048828125,1450.4350073242188,1515.983998046875,1426.2240314622106,1432.2856698855078,1449.5183143963684,1488.99601454093,-24.072412096635844,-24.881622012360147,0.8092099157243027,,50.84906870651673,False,False,27.555631747071317,,,,,,,1.008525023605568,,0.9649178367875948,,1.0091628270382789,0.9567614230710175,0.9734870343781726,0.9769344975554959,Sideways,275729.5,0.7330227632516652,1.01330010026238,0.9970011236925406,0.020225939288074736,28.41401696584273,29.54305851307948,0.0030078966173605727,0.039447302366471704,0.0,2026-01-22 08:44:31.110
2026-01-22,AAVAS.NS,1416.9799951171876,1433.6600048828125,1450.4350073242188,1515.983998046875,1426.2240314622106,1432.2856698855078,1449.5183143963684,1488.99601454093,-24.072412096635844,-24.881622012360147,0.8092099157243027,,50.84906870651673,False,False,27.555631747071317,,,,,,,1.008525023605568,,0.9649178367875948,,1.0091628270382789,0.9567614230710175,0.9734870343781726,0.9769344975554959,Sideways,275729.5,0.7330227632516652,1.01330010026238,0.9970011236925406,0.020225939288074736,28.41401696584273,29.54305851307948,0.0030078966173605727,0.039447302366471704,0.0,2026-01-22 10:43:28.443
2026-01-22,AAVAS.NS,1416.9799951171876,1433.6600048828125,1450.4350073242188,1515.983998046875,1426.224031461156,1432.285486196487,1449.4723659927636,1488.283001763345,-23.929220330443286,-24.69243555235496,0.7632152219116755,,50.84906870651673,False,False,27.555631747071317,,,,,,,1.008525023605568,,0.9649178367875948,,1.009194817590129,0.9567614230710175,0.9739225431422667,0.9769344975554959,Sideways,275729.5,0.7330227632516652,1.01330010026238,0.9970011236925406,0.020225939288074736,28.41401696584283,29.54305851307948,0.0030078966173605727,0.039447302366471704,0.0,2026-01-23 07:36:17.500
